No.,Kode  Saham,Nama  Penerbit  Efek,ISSI
173,DSSA,Dian Swastatika Sentosa Tbk,Ya
174,DUTI,Duta Pertiwi Tbk,Ya
175,DVLA,Darya-Varia Laboratoria Tbk,Ya
176,DWGL,Dwi Guna Laksana Tbk,Ya
177,DYAN,Dyandra Media International Tbk,Ya
178,EAST,Eastparc Hotel Tbk,Ya
179,ECII,Electronic City Indonesia Tbk,Ya
180,EDGE,Indointernet Tbk,Ya
181,EKAD,Ekadharma International Tbk,Ya
182,ELIT,Data Sinergitama Jaya Tbk,Ya
183,ELPI,Pelayaran Nasional Ekalya Purnamasari Tbk,Ya
184,ELSA,Elnusa Tbk,Ya
185,ELTY,Bakrieland Development Tbk,Ya
186,EMDE,Megapolitan Developments Tbk,Ya
187,ENAK,Champ Resto Indonesia Tbk,Ya
188,ENRG,Energi Mega Persada Tbk,Ya
189,EPAC,Megalestari Epack Sentosaraya Tbk,Ya
190,EPMT,Enseval Putera Megatrading Tbk,Ya
191,ERAA,Erajaya Swasembada Tbk,Ya
192,ERAL,Sinar Eka Selaras Tbk,Ya
193,ESIP,Sinergi Inti Plastindo Tbk,Ya
194,ESSA,ESSA Industries Indonesia Tbk,Ya
195,ESTA,Esta Multi Usaha Tbk,Ya
196,EURO,Estee Gold Feet Tbk,Tidak
197,EXCL,XLSMART Telecom Sejahtera Tbk,Ya
198,FAST,Fast Food Indonesia Tbk,Ya
199,FASW,Fajar Surya Wisesa Tbk,Ya
200,FILM,MD Entertainment Tbk,Ya
201,FIMP,Fimperkasa Utama Tbk,Tidak
202,FIRE,Alfa Energi Investama Tbk,Ya
203,FISH,FKS Multi Agro Tbk,Ya
204,FITT,Hotel Fitra International Tbk,Ya
205,FLMC,Falmaco Nonwoven Industri Tbk,Tidak
206,FMII,Fortune Mate Indonesia Tbk,Ya
207,FOLK,Multi Garam Utama Tbk,Ya
208,FOOD,Sentra Food Indonesia Tbk,Ya
209,FORE,Fore Kopi Indonesia Tbk,Ya
210,FPNI,Lotte Chemical Titan Tbk,Ya
211,FUTR,Futura Energi Global Tbk,Ya
212,FWCT,Wijaya Cahaya Timber Tbk,Ya
213,GDST,Gunawan Dianjaya Steel Tbk,Ya
214,GDYR,Goodyear Indonesia Tbk,Ya
215,GEMA,Gema Grahasarana Tbk,Ya
216,GEMS,Golden Energi Mines Tbk,Ya
217,GGRP,Gunung Raja Paksi Tbk,Ya
218,GHON,Gihon Telekomunikasi Indonesia Tbk,Ya
219,GIAA,Garuda Indonesia (Persero) Tbk,Ya
220,GJTL,Gajah Tunggal Tbk,Ya
221,GLVA,Galva Technologies Tbk,Ya
222,GMTD,Gowa Makassar Tourism Development Tbk,Ya
223,GOLD,Visi Telekomunikasi Infrastruktur Tbk,Ya
224,GOLF,Intra GolfLink Resorts Tbk,Ya
225,GOOD,Garudafood Putra Putri Jaya Tbk,Ya
226,GPRA,Perdana Gapura Prima Tbk,Ya
227,GPSO,Geoprima Solusi Tbk,Ya
228,GRIA,Ingria Pratama Capitalindo Tbk,Ya
229,GRPH,Griptha Putra Persada Tbk,Ya
230,GRPM,Graha Prima Mentari Tbk,Tidak
231,GTBO,Garda Tujuh Buana Tbk,Ya
232,GTRA,Grahaprima Suksesmandiri Tbk,Ya
233,GTSI,GTS Internasional Tbk,Ya
234,GULA,Aman Agrindo Tbk,Ya
235,GUNA,Gunanusa Eramandiri Tbk,Ya
236,GWSA,Greenwood Sejahtera Tbk,Ya
237,GZCO,Gozco Plantations Tbk,Ya
238,HADE,Himalaya Energi Perkasa Tbk,Ya
239,HAIS,Hasnur Internasional Shipping Tbk,Ya
240,HAJJ,Arsy Buana Travelindo Tbk,Tidak
